what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994295176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994295582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994316040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994316664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994318365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994320845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994502730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994503588
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312994505257
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1312994506661
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1312994507036
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1312994507051
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1312994507145
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1312994507192
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1312994507348
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1312994507379
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1312994507394
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1312994507472
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1312994507519
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1312994507519
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1312994507519
